행정시,업소명,소재지(도로명),읍면동,전화번호,업태,데이터기준일자
제주시,해미가,제주특별자치도 제주시 애월읍 애월해안로866,애월읍,064-713-6166,한식,2022-02-21
제주시,화남가든,제주특별자치도 제주시 노형로 44,해안동,064-746-8152,한식,2022-02-21
제주시,제주소드래,제주특별자치도 제주시 가령로 1,이도동,064-726-0083,한식,2022-02-21
제주시,본가제주아라점,제주특별자치도 제주시 간월동로 6,아라동,064-727-9006,한식,2022-02-21
제주시,스시앤,제주특별자치도 제주시 고산동산5길 21-1,이도동,064-726-9696,일식,2022-02-21
제주시,시청그때그집,제주특별자치도 제주시 동광로1길 11,이도동,064-721-0880,한식,2022-02-21
제주시,파라다이스회관,제주특별자치도 제주시 삼성로 9,이도동,064-725-2011,한식,2022-02-21
제주시,육장갈비제주본점,제주특별자치도 제주시 승천로 2,이도동,064-752-0153,한식,2022-02-21
제주시,돈풍년,제주특별자치도 제주시 승천로 52,아라동,064-713-5252,한식,2022-02-21
제주시,징기스이도점,제주특별자치도 제주시 승천로 68,아라동,064-722-6155,양식,2022-02-21
제주시,꽃마름제주이도점,제주특별자치도 제주시 승천로 73,아라동,064-725-4933,한식,2022-02-21
제주시,육갑봉,제주특별자치도 제주시 신설로11길 2-9,아라동,064-726-4111,한식,2022-02-21
제주시,주식회사도다모,제주특별자치도 제주시 신설로11길 5,아라동,064-752-5525,양식,2022-02-21
제주시,아일랜드본섬,제주특별자치도 제주시 신설로6길 1-1,이도동,064-755-1138,일식,2022-02-21
제주시,흑소랑,제주특별자치도 제주시 연북로 631,아라동,064-726-9966,한식,2022-02-21
제주시,해원앙,제주특별자치도 제주시 연삼로 457-1,이도동,064-758-3670,일식,2022-02-21
제주시,천지연무태장어,제주특별자치도 제주시 연삼로 461,이도동,064-727-0592,한식,2022-02-21
제주시,만호,제주특별자치도 제주시 연삼로 497,이도동,064-757-9895,한식,2022-02-21
제주시,혼참치,제주특별자치도 제주시 오복4길 3,이도동,064-722-4764,일식,2022-02-21
제주시,제주축산농협한우플라자,제주특별자치도 제주시 중앙로 415,아라동,064-726-5672,한식,2022-02-21
제주시,대광,제주특별자치도 제주시 중앙로23길 9,이도동,064-758-7768,한식,2022-02-21
제주시,홍소반,제주특별자치도 제주시 천수로6길 36,이도동,064-723-5567,한식,2022-02-21
제주시,제주통큰장어,제주특별자치도 제주시 청귤로3길 50,이도동,064-759-0009,한식,2022-02-21
제주시,해모둠,제주특별자치도 제주시 청귤로3길 53,이도동,064-758-6400,일식,2022-02-21
제주시,김용복참치,제주특별자치도 제주시 과원북4길 9,노형동,064-713-2787,일식,2022-02-21
제주시,삼춘이야기노형점,제주특별자치도 제주시 광평동로 45,노형동,064-747-6692,한식,2022-02-21
제주시,후니참치,제주특별자치도 제주시 노연로 39,노형동,064-748-8887,일식,2022-02-21
제주시,어머니와장독대노형점,제주특별자치도 제주시 월광로 77,노형동,064-711-6001,한식,2022-02-21
제주시,제주늘봄,제주특별자치도 제주시 고사마루길 6,노형동,064-742-7712,한식,2022-02-21
제주시,제주한우리,제주특별자치도 제주시 고사마루길 10,노형동,064-744-9000,한식,2022-02-21
제주시,우림,제주특별자치도 제주시 도령로 28-2,노형동,064-748-0748,일식,2022-02-21
제주시,래원,제주특별자치도 제주시 과원북4길 3,노형동,064-711-8234,중식,2022-02-21
제주시,삼대국수회관노형점,제주특별자치도 제주시 노형13길 11,노형동,064-722-3366,한식,2022-02-21
제주시,노형순창,제주특별자치도 제주시 진군3길 1,노형동,064-743-6468,한식,2022-02-21
제주시,조마루뼈다귀노형점,제주특별자치도 제주시 수덕로 83,노형동,064-711-3535,한식,2022-02-21
제주시,흑돈가,제주특별자치도 제주시 한라대학로 11,노형동,064-747-0088,한식,2022-02-21
제주시,흑돼지가있는풍경,제주특별자치도 제주시 진군남4길 7-8,노형동,064-742-1108,한식,2022-02-21
제주시,놀부부대찌개철판구이신제주점,제주특별자치도 제주시 도령로 39,노형동,064-742-5382,한식,2022-02-21
제주시,노형늘봄,제주특별자치도 제주시 한라대학로 12,노형동,064-744-9001,한식,2022-02-21
제주시,이화원,제주특별자치도 제주시 달마루길 20,노형동,064-749-8801,중식,2022-02-21
제주시,내고향해장국,제주특별자치도 제주시 월랑로4길 14,노형동,064-744-9009,한식,2022-02-21
제주시,샤브향신제주점,제주특별자치도 제주시 월랑로 30,노형동,064-901-4994,양식,2022-02-21
제주시,홋카이도,제주특별자치도 제주시 노연로 42,노형동,064-747-4343,일식,2022-02-21
제주시,두끼떡볶이제주노형점,제주특별자치도 제주시 연북로 48,노형동,064-748-8858,한식,2022-02-21
제주시,푸라닭신제주점,제주특별자치도 제주시 원노형로 36,노형동,064-749-9493,한식,2022-02-21
제주시,연우네,제주특별자치도 제주시 은수길 110,노형동,064-712-5646,한식,2022-02-21
제주시,제주여행가야밀면,제주특별자치도 제주시 원노형9길 14,노형동,064-745-3400,한식,2022-02-21
제주시,어가,제주특별자치도 제주시 1100로 3213-8,노형동,064-749-0081,한식,2022-02-21
제주시,모이세해장국노형점,제주특별자치도 제주시 월랑로 61,노형동,064-745-5253,한식,2022-02-21
제주시,은희네해장국노형점,제주특별자치도 제주시 원노형로 40,노형동,064-711-5820,한식,2022-02-21
제주시,봉자네숙성뼈갈비,제주특별자치도 제주시 1100로 3228,노형동,064-713-3636,일식,2022-02-21
제주시,드렁몰라도새기샤브마을,제주특별자치도 제주시 달마루길 22,노형동,064-772-8000,한식,2022-02-21
제주시,돈사돈2호점,제주특별자치도 제주시 광평동로 15,노형동,064-747-7876,한식,2022-02-21
제주시,제철별미,제주특별자치도 제주시 원노형3길 28,노형동,064-749-2669,한식,2022-02-21
제주시,만배성,제주특별자치도 제주시 아연로 484-9,아라동,064-712-6800,한식,2022-02-21
제주시,아라미당한우전문점,제주특별자치도 제주시 아연로 595,아라동,064-751-2266,한식,2022-02-21
제주시,아라캐슬웨딩홀구내,제주특별자치도 제주시 중앙로 504,아라동,064-702-3339,한식,2022-02-21
제주시,비욘드더테이블,제주특별자치도 제주시 한경면 녹차분재로 685-21,한경면,064-772-3701,한식,2022-02-21
제주시,신창흑돼지두루치기,제주특별자치도 제주시 한경면 두신로 74-1,한경면,064-773-2272,한식,2022-02-21
제주시,사형제,제주특별자치도 제주시 한림읍 한림상로 273,한림읍,064-796-8709,일식,2022-02-21
제주시,옹포별장가든,제주특별자치도 제주시 한림읍 한림상로 24,한림읍,064-796-3146,한식,2022-02-21
제주시,제주코,제주특별자치도 제주시 한림읍 중산간서로 4494,한림읍,064-796-5689,한식,2022-02-21
제주시,한림바다생태체험마을,제주특별자치도 제주시 한림읍 한림해안로 200,한림읍,064-796-1817,한식,2022-02-21
제주시,한림일품,제주특별자치도 제주시 한림읍 한림해안로 154,한림읍,064-796-7534,일식,2022-02-21
제주시,고집돌우럭함덕점,제주특별자치도 제주시 조천읍 신북로 491-9,조천읍,064-783-6060,한식,2022-02-21
제주시,교래손칼국수,제주특별자치도 제주시 조천읍 비자림로 645,조천읍,064-782-9870,한식,2022-02-21
제주시,낭뜰에쉼팡,제주특별자치도 제주시 조천읍 남조로 2343,조천읍,064-784-9292,한식,2022-02-21
제주시,대성아귀찜,제주특별자치도 제주시 조천읍 함덕13길 4,조천읍,064-784-0975,한식,2022-02-21
제주시,대자연가든,제주특별자치도 제주시 조천읍 신북로 618,조천읍,064-783-6969,한식,2022-02-21
제주시,대풍미락횟집함덕본점,제주특별자치도 제주시 조천읍 조함해안로 446,조천읍,064-784-8100,한식,2022-02-21
제주시,대풍미락정육식당함덕본점,제주특별자치도 제주시 조천읍 조함해안로 450,조천읍,064-784-8102,한식,2022-02-21
제주시,돈사돈월정점,제주특별자치도 제주시 구좌읍 한동북1길 29-3,구좌읍,064-784-9289,한식,2022-02-21
제주시,밭담,제주특별자치도 제주시 구좌읍 행원로5길 35-20,구좌읍,064-783-1376,한식,2022-02-21
제주시,버드나무,제주특별자치도 제주시 조천읍 신북로 540,조천읍,064-782-9992,한식,2022-02-21
제주시,별미해장국본점,제주특별자치도 제주시 조천읍 신북로 608,조천읍,064-782-1680,한식,2022-02-21
제주시,서울식당,제주특별자치도 제주시 조천읍 함덕13길 5,조천읍,064-783-8170,한식,2022-02-21
제주시,선장과해녀,제주특별자치도 제주시 조천읍 조함해안로 432-19,조천읍,064-783-8359,한식,2022-02-21
제주시,세화그때그집,제주특별자치도 제주시 구좌읍 세평항로 43,구좌읍,064-783-9244,한식,2022-02-21
제주시,아름,제주특별자치도 제주시 조천읍 교래3길 24,조천읍,064-784-9100,한식,2022-02-21
제주시,안다미로,제주특별자치도 제주시 조천읍 비자림로 648,조천읍,064-783-0668,한식,2022-02-21
제주시,연미정,제주특별자치도 제주시 구좌읍 세평항로 14,조천읍,064-784-8856,한식,2022-02-21
제주시,연자모루,제주특별자치도 제주시 조천읍 신촌6길 13,조천읍,064-784-4929,한식,2022-02-21
제주시,저팔계깡통숯불구이,제주특별자치도 제주시 조천읍 신북로 523,조천읍,064-783-8788,한식,2022-02-21
제주시,정순화순두부,제주특별자치도 제주시 조천읍 일주동로 1415,조천읍,064-783-4900,한식,2022-02-21
제주시,제주동복해녀식당,제주특별자치도 제주시 구좌읍 동복로 5,구좌읍,064-783-4141,한식,2022-02-21
제주시,제주본가,제주특별자치도 제주시 조천읍 비자림로 684,조천읍,064-784-0900,한식,2022-02-21
제주시,제주순풍해장국,제주특별자치도 제주시 조천읍 신북로 604,조천읍,064-782-8866,한식,2022-02-21
제주시,주식회사해녀촌,제주특별자치도 제주시 구좌읍 동복로 35,구좌읍,064-783-4242,한식,2022-02-21
제주시,평대전복,제주특별자치도 제주시 구좌읍 해맞이해안로 1254-2,구좌읍,064-782-0036,한식,2022-02-21
제주시,해어랑,제주특별자치도 제주시 조천읍 조함해안로 525,조천읍,064-784-8828,한식,2022-02-21
제주시,황금손가락함덕점,제주특별자치도 제주시 조천읍 신북로 519,조천읍,064-784-2588,일식,2022-02-21
제주시,해원,제주특별자치도 제주시 서해안로 687-6,용담2,064-711-2552,일식,2022-02-21
제주시,제주향토골,제주특별자치도 제주시 공항로 2,용담2,064-712-1666,한식,2022-02-21
제주시,길림성,제주특별자치도 제주시 남성로 37,용담1,064-724-6660,중식,2022-02-21
제주시,어림향,제주특별자치도 제주시 서사로24길 22,삼도1,064-727-7999,일식,2022-02-21
제주시,일맥샤브,제주특별자치도 제주시 중앙로14길 40-8,삼도2,064-726-3999,한식,2022-02-21
제주시,어우늘,제주특별자치도 제주시 연북로 222,오라,064-743-5131,한식,2022-02-21
제주시,월라촌,제주특별자치도 제주시 오남로 66,오라,064-726-4700,한식,2022-02-21
제주시,장씨네,제주특별자치도 제주시 서사로 78,삼도1,064-722-2992,한식,2022-02-21
제주시,도라지,제주특별자치도 제주시 연삼로 128,오라,064-722-3142,한식,2022-02-21
제주시,하르방밀면공항점,제주특별자치도 제주시 공설로 53,오라,064-792-5000,한식,2022-02-21
제주시,가리본가광양점,제주특별자치도 제주시 서사로19길 42,삼도1,064-711-7448,한식,2022-02-21
제주시,영주말가든,제주특별자치도 제주시 연북로 196,오라,064-748-4343,한식,2022-02-21
제주시,(주)우진해장국,제주특별자치도 제주시 서사로 11,삼도2,064-757-3393,한식,2022-02-21
제주시,푸주옥오라점,제주특별자치도 제주시 오라로 140,오라,064-727-8888,한식,2022-02-21
제주시,명태골,제주특별자치도 제주시 오남로 11,오라,064-759-5050,한식,2022-02-21
제주시,애담한우,제주특별자치도 제주시 서광로 46-10,오라,064-746-5588,한식,2022-02-21
제주시,태광,제주특별자치도 제주시 탑동로 142,용담1,064-751-1071,한식,2022-02-21
제주시,달맞이,제주특별자치도 제주시 신대로 6길 13,연동,064-742-7766,한식,2022-02-21
제주시,지지지,제주특별자치도 제주시 신대로 104,연동,,한식,2022-02-21
제주시,이비가짬뽕제주1호이호점,제주특별자치도 제주시 도공로 154-7,이호2,,중식,2022-02-21
제주시,삼미횟집제주공항점,제주특별자치도 제주시 도두항서5길 1,도두1,064-746-9595,일식,2022-02-21
제주시,토끼와거북이,제주특별자치도 제주시 서해안로 498-6,용담3,064-713-4444,한식,2022-02-21
제주시,외양간,제주특별자치도 제주시 선덕로 5길 13,연동,064-748-4343,한식,2022-02-21
제주시,태백산제주본점,제주특별자치도 제주시 도공로 154-12,이호2,064-743-9137,한식,2022-02-21
제주시,산지물신제주점,제주특별자치도 제주시 신대로 10길 53,연동,064-745-5799,한식,2022-02-21
제주시,동이트는집,제주특별자치도 제주시 연동 9길 13,연동,064-749-2309,한식,2022-02-21
제주시,제주정지,제주특별자치도 제주시 서해안로 480,용담3,064-711-0810,한식,2022-02-21
제주시,바다풍경,제주특별자치도 제주시 서해안로 654,용담3,,한식,2022-02-21
제주시,장춘육당,제주특별자치도 제주시 신대로 10길 36,연동,064-742-8556,한식,2022-02-21
제주시,제주마당,제주특별자치도 제주시 도리로 50,이호1,,한식,2022-02-21
제주시,신제주그랜드식당,제주특별자치도 제주시 신대로 70,연동,064-712-2324,일식,2022-02-21
제주시,어장군,제주특별자치도 제주시 신대로 72,연동,064-744-2258,한식,2022-02-21
제주시,삼다도횟집,제주특별자치도 제주시 서해안로 572,용담3,064-748-0909,일식,2022-02-21
제주시,도두,제주특별자치도 제주시 도두3길 48,도두1,064-742-9292,일식,2022-02-21
제주시,섬횟집,제주특별자치도 제주시 서해안로 242,도두1,064-742-2929,일식,2022-02-21
제주시,탐라향,제주특별자치도 제주시 서해안로 346-13,도두2,064-748-5800,한식,2022-02-21
제주시,바다예찬,제주특별자치도 제주시 귀아랑 1길 26-1,연동,064-749-0092,일식,2022-02-21
제주시,빕스연동제주점,제주특별자치도 제주시 연삼로 2,연동,064-751-1997,양식,2022-02-21
제주시,꽃가마,제주특별자치도 제주시 신산로 97,일도동,064-755-6454,한식,2022-02-21
제주시,일품샤브샤브,제주특별자치도 제주시 동광로 161,일도동,064-727-7779,한식,2022-02-21
제주시,조마루뼈다귀일도지구점,제주특별자치도 제주시 연수로3길 5,일도동,064-751-5115,한식,2022-02-21
제주시,명가일식,제주특별자치도 제주시 만덕로6길 34,일도동,064-725-4333,일식,2022-02-21
제주시,군족,제주특별자치도 제주시 동화로 74,화북동,064-721-8977,한식,2022-02-21
제주시,맛있는소리,제주특별자치도 제주시 진동로 6,화북동,064-758-9298,한식,2022-02-21
제주시,삼다향,제주특별자치도 제주시 일주동로 242,삼양동,064-721-5659,한식,2022-02-21
제주시,강윤구스시야,제주특별자치도 제주시 화삼북로 135,삼양동,064-722-0271,일식,2022-02-21
제주시,명물,제주특별자치도 제주시 탑동로11길 2-1,삼도2,064-723-5233,한식,2022-02-21
제주시,바다잔치,제주특별자치도 제주시 탑동로 79,삼도2,064-702-8989,한식,2022-02-21
제주시,탑동산호전복,제주특별자치도 제주시 탑동로 59,삼도2,064-758-0123,한식,2022-02-21
제주시,제주흑돼지마씸,제주특별자치도 제주시 탑동로 18,삼도2,064-726-2656,한식,2022-02-21
제주시,삼양장원,제주특별자치도 제주시 일주동로 394,삼양동,064-702-3088,한식,2022-02-21
제주시,순풍해장국,제주특별자치도 제주시 일주동로 355,삼양동,064-721-9944,한식,2022-02-21
제주시,제주정,제주특별자치도 제주시 일주동로 320,삼양동,064-721-2228,한식,2022-02-21
제주시,한촌설렁탕삼화점,제주특별자치도 제주시 일주동로 285,삼양동,064-724-5138,한식,2022-02-21
제주시,진돼지,제주특별자치도 제주시 은수길 65,연동,064-746-1542,한식,2022-02-21
제주시,화목원,제주특별자치도 제주시 연화남길 41,연동,064-748-0023,한식,2022-02-21
제주시,스푼더마켓제주점,제주특별자치도 제주시 연북로 76,연동,064-747-4600,뷔페식,2022-02-21
제주시,김명자굴국밥,제주특별자치도 제주시 연북로 168,연동,064-747-0320,한식,2022-02-21
제주시,유리네,제주특별자치도 제주시 연북로 146,연동,064-748-0890,한식,2022-02-21
제주시,풍전,제주특별자치도 제주시 연동8길 30,연동,064-747-0123,한식,2022-02-21
제주시,풍천만가,제주특별자치도 제주시 아연로 40,연동,064-713-6255,한식,2022-02-21
제주시,정우말가든,제주특별자치도 제주시 아연로 17,연동,064-747-6525,한식,2022-02-21
제주시,삼대국수회관신제주점,제주특별자치도 제주시 신대로20길 32,연동,064-747-9493,한식,2022-02-21
제주시,천하일품,제주특별자치도 제주시 신대로14길 35,연동,064-748-6592,한식,2022-02-21
제주시,제주영재숯불,제주특별자치도 제주시 신광로10길 23,연동,064-745-8866,한식,2022-02-21
제주시,서흘포가든,제주특별자치도 제주시 선사로6길 12,삼양동,064-726-0011,한식,2022-02-21
제주시,양푼왕갈비,제주특별자치도 제주시 선덕로 14,연동,064-746-3663,한식,2022-02-21
제주시,만부정,제주특별자치도 제주시 사장길 38,연동,064-743-1119,한식,2022-02-21
제주시,황금어장,제주특별자치도 제주시 사장길 14,연동,064-748-8989,한식,2022-02-21
제주시,이금돈지,제주특별자치도 제주시 노연로 143,연동,064-711-8866,한식,2022-02-21
제주시,연동신도시식당,제주특별자치도 제주시 국기중길 28,연동,064-711-5664,한식,2022-02-21
제주시,연안식당,제주특별자치도 제주시 신대로 169,연동,064-747-7915,한식,2022-02-21
제주시,자매국수,제주특별자치도 제주시 탑동로11길 6,삼도2,064-727-1112,한식,2022-02-21
제주시,조선화로집제주연북로점,제주특별자치도 제주시 연북로 173,연동,064-742-8892,한식,2022-02-21
제주시,칠돈가제주공항직영점,제주특별자치도 제주시 신대로 144,연동,064-745-8858,한식,2022-02-21
제주시,제주돈드르족발보쌈,제주특별자치도 제주시 은남길 25,연동,064-748-8500,한식,2022-02-21
제주시,금보,제주특별자치도 제주시 서부두길 14,건입,064-726-1777,일식,2022-02-21
제주시,대진,제주특별자치도 제주시 서부두길 16,건입,064-758-0522,일식,2022-02-21
제주시,돈향기,제주특별자치도 제주시 관덕로15길 30,건입,064-724-0228,한식,2022-02-21
제주시,만옥,제주특별자치도 제주시 중앙로2길 1,건입,064-751-1443,한식,2022-02-21
제주시,서부두,제주특별자치도 제주시 임항로 37-2,건입,064-756-0506,한식,2022-02-21
제주시,소라,제주특별자치도 제주시 서부두길 18-2,건입,064-758-9273,일식,2022-02-21
제주시,우정횟집,제주특별자치도 제주시 서부두길 16,건입,064-757-4202,일식,2022-02-21
제주시,제주몬트락,제주특별자치도 제주시 임항로 20,건입,064-757-2300,한식,2022-02-21
제주시,탑부평,제주특별자치도 제주시 관덕로15길 26,건입,064-753-7869,한식,2022-02-21
제주시,해진횟집,제주특별자치도 제주시 서부두길 26,건입,064-722-4584,일식,2022-02-21
제주시,산지물식당,제주특별자치도 제주시 임항로 26,건입,064-752-5599,한식,2022-02-21
제주시,푸주옥도남점,제주특별자치도 제주시 독짓골4길 4,도남동,064-727-8889,한식,2022-02-21
제주시,대한축산정육식당,제주특별자치도 제주시 도남로 51,도남동,064-725-9225,한식,2022-02-21
제주시,바르다김선생삼화점,제주특별자치도 제주시 건주로 37,도련동,064-702-7848,한식,2022-02-21
제주시,제주밀라네사뷔페,제주특별자치도 제주시 매촌2길 78,도련동,064-724-1014,뷔페식,2022-02-21
제주시,제주축협한우플라자삼화점,제주특별자치도 제주시 건주로 45,도련동,064-758-5201,한식,2022-02-21
제주시,황금손가락삼화점,제주특별자치도 제주시 건주로4길 14-8,도련동,064-758-3388,일식,2022-02-21
제주시,통영아귀찜,제주특별자치도 제주시 번영로 535,봉개동,064-721-9002,한식,2022-02-21
제주시,동부산가든,제주특별자치도 제주시 봉개북1길 10,봉개동,064-723-3838,한식,2022-02-21
제주시,이돈갓시청점,제주특별자치도 제주시 광양14길 9,이도동,064-723-6427,양식,2022-02-21
제주시,갑도니,제주특별자치도 제주시 광양14길 14,이도동,064-752-9288,한식,2022-02-21
제주시,새미언덕,제주특별자치도 제주시 중산간동로 188-6,회천동,064-752-8200,한식,2022-02-21
제주시,흑돼지거리대돈,제주특별자치도 제주시 애월읍 일주서로 7113,애월읍,064-800-4010,한식,2022-02-21
제주시,미스터빠삭제주외도점,제주특별자치도 제주시 일주서로 7319-1,외도동,064-742-7899,한식,2022-02-21
제주시,북경반점,제주특별자치도 제주시 전농로117,이도동,064-722-4256,중식,2022-02-21
제주시,네모오징어,제주특별자치도 제주시 광양13길 10,이도동,064-755-6777,한식,2022-02-21
제주시,삼계별장,제주특별자치도 제주시 연북로 599,이도동,,한식,2022-02-21
제주시,마왕족발제주아라점,제주특별자치도 제주시 아란7길 3-2,아라동,064-722-9234,한식,2022-02-21
제주시,서서방숯불닭갈비아라점,제주특별자치도 제주시 아란7길 3-3,아라동,064-721-7745,한식,2022-02-21
제주시,일빈관,제주특별자치도 제주시 한림읍 한림상로 186,한림읍,064-796-0316,중식,2022-02-21
제주시,우돈향,제주특별자치도 제주시 조천읍 조함해안로 530,조천읍,,한식,2022-02-21
제주시,계절식탁향토,제주특별자치도 제주시 조천읍 조함해안로 510,조천읍,,한식,2022-02-21
제주시,갈치옥,제주특별자치도 제주시 조천읍 조함해안로 530,조천읍,,한식,2022-02-21
제주시,와흘길따라,제주특별자치도 제주시 조천읍 남조로 2324,조천읍,064-784-7082,한식,2022-02-21
제주시,순옥이네명가함덕점,제주특별자치도 제주시 조천읍 함덕로 6,조천읍,064-784-7082,한식,2022-02-21
제주시,백가네제주한상,제주특별자치도 제주시 조천읍 함덕로 40,조천읍,064-784-9966,한식,2022-02-21
제주시,일품핫쭈꾸미,제주특별자치도 제주시 연북로 210,오라동,064-722-9696,한식,2022-02-21
제주시,오쿠다공항점,제주특별자치도 제주시 용문로 18길 60-5,용담2,064-711-9303,한식,2022-02-21
제주시,한촌설렁탕종합운동장점,제주특별자치도 제주시 오라로 118,오라동,064-725-4441,한식,2022-02-21
제주시,착한집,제주특별자치도 제주시 서광로 98,오라동,064-713-7136,한식,2022-02-21
제주시,용담밭담,제주특별자치도 제주시 서천길 16,용담2,064-742-7856,한식,2022-02-21
제주시,제주오라성,제주특별자치도 제주시 오라남로 16,오라동,064-748-3005,한식,2022-02-21
제주시,모이세해장국본점,제주특별자치도 제주시 연북로 221,오라동,064-746-5128,한식,2022-02-21
제주시,사계진미숯불닭갈비제원,제주특별자치도 제주시 연동7길 22,연동,,한식,2022-02-21
제주시,금갈치타운,제주특별자치도 제주시 고마로19길 2,일도동,064-727-9299,한식,2022-02-21
제주시,신설돈가,제주특별자치도 제주시 고마로 21,일도동,,한식,2022-02-21
제주시,대독장화북점,제주특별자치도 제주시 일주동로 87,화북동,064-755-4428,한식,2022-02-21
제주시,고깃소리,제주특별자치도 제주시 서흘1길 56 1,삼양동,,한식,2022-02-21
제주시,주식회사옥만이네,제주특별자치도 제주시 수목원길 65-6,연동,064-711-3093,한식,2022-02-21
제주시,초가장,제주특별자치도 제주시 서부두길 16,건입동,064-758-1333,일식,2022-02-21
서귀포시,원보뷔페본점,제주특별자치도 서귀포시 516로 204,토평동,064-739-8997,뷔페식,2022-02-21
서귀포시,은희네해장국서귀포점,제주특별자치도 서귀포시 516로 84,토평동,064-767-0039,한식,2022-02-21
서귀포시,명륜진사갈비신서귀포점,제주특별자치도 서귀포시 김정문화로 27번길 10-3,강정동,064-738-0190,한식,2022-02-21
서귀포시,육값하네식육가든,제주특별자치도 서귀포시 남조로 141,남원읍,064-764-5053,한식,2022-02-21
서귀포시,일품순두부남원점,제주특별자치도 서귀포시 남조로 30,남원읍,064-764-9001,한식,2022-02-21
서귀포시,태흥횟집,제주특별자치도 서귀포시 남태해안로 435,남원읍,064-764-2896,일식,2022-02-21
서귀포시,전망대,제주특별자치도 서귀포시 대정읍 가파로 67번길 58,대정읍,064-794-5033,한식,2022-02-21
서귀포시,신태백관,제주특별자치도 서귀포시 대정읍 동일하모로 196,대정읍,064-794-8537,중식,2022-02-21
서귀포시,옥돔식당,제주특별자치도 서귀포시 대정읍 신영로 36번길 62,대정읍,064-794-8833,한식,2022-02-21
서귀포시,올랭이와물꾸럭,제주특별자치도 서귀포시 대정읍 신영로 93-5,대정읍,064-794-5022,한식,2022-02-21
서귀포시,미향해장국모슬포점,제주특별자치도 서귀포시 대정읍 일주서로 2476,대정읍,064-792-9588,한식,2022-02-21
서귀포시,최남단식당,제주특별자치도 서귀포시 대정읍 최남단해안로 40,대정읍,064-794-9191,일식,2022-02-21
서귀포시,산방식당,제주특별자치도 서귀포시 대정읍 하모이삼로 62,대정읍,064-794-2165,한식,2022-02-21
서귀포시,모이세해장국모슬포점,제주특별자치도 서귀포시 대정읍 하모중앙로 23,대정읍,064-792-5382,한식,2022-02-21
서귀포시,주식회사부두식당,제주특별자치도 서귀포시 대정읍 하모항구로 62,대정읍,064-794-1223,한식,2022-02-21
서귀포시,다금바리횟집,제주특별자치도 서귀포시 대청로 37,강정동,064-739-1900,일식,2022-02-21
서귀포시,군족강정점,제주특별자치도 서귀포시 대청로 37,강정동,064-738-9258,한식,2022-02-21
서귀포시,큰갯물횟집,제주특별자치도 서귀포시 대포로 161,대포동,064-738-1625,일식,2022-02-21
서귀포시,오르막가든,제주특별자치도 서귀포시 대포중앙로 12,대포동,064-738-7755,한식,2022-02-21
